,Open time,Open,Date,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
count,334.0,334.0,334,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0,334.0
mean,1684311377245.509,0.48045029940119754,2023-06-16 12:00:00,0.4932239520958083,0.4663284431137724,0.48106556886227547,371668613.16467065,1684401197604.7905,181354006.1858084,219467.30538922155,186770018.03293413,91179396.49386227,0.0
min,1670000000000.0,0.3332,2023-01-01 00:00:00,0.34,0.3,0.3331,63137112.0,1670000000000.0,32985340.12,38367.0,27457388.0,14345149.36,0.0
25%,1680000000000.0,0.4012,2023-03-25 06:00:00,0.41204999999999997,0.39095,0.4022,237212167.0,1680000000000.0,111608162.875,120501.5,120642582.75,55597586.945,0.0
50%,1680000000000.0,0.47919999999999996,2023-06-16 12:00:00,0.48885,0.46835000000000004,0.47950000000000004,332812954.0,1680000000000.0,151492732.05,168031.5,170156263.0,78312798.02,0.0
75%,1690000000000.0,0.5182,2023-09-07 18:00:00,0.52795,0.503525,0.5186000000000001,432472758.75,1690000000000.0,208144282.325,243063.75,218593204.5,104842701.075,0.0
max,1700000000000.0,0.8198,2023-11-30 00:00:00,0.938,0.771,0.8199,2499971165.0,1700000000000.0,1758482750.0,2895839.0,1283335461.0,902411938.5,0.0
std,9298457485.573196,0.09422059055532805,,0.09950215185297791,0.09038298658284584,0.09421112406729776,244246655.45483023,9304692142.071815,149818757.02320367,215127.43890911297,121573634.25600637,75032983.8290356,0.0
