Source.Name,Open time,Open,Date,Quartile,Month,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
XRPUSDT-1d-2023-01.csv,1.67E+12,0.3389,01-01-2023,Q1,January,0.34,0.3354,0.3387,102026821,1.67E+12,34471638.57,48661,53592277,18107900.65,0
XRPUSDT-1d-2023-01.csv,1.67E+12,0.3386,02-01-2023,Q1,January,0.3555,0.3,0.3482,647520487,1.67E+12,217803999.7,285660,320823575,108056946.6,0
XRPUSDT-1d-2023-01.csv,1.67E+12,0.3482,03-01-2023,Q1,January,0.352,0.3395,0.3436,346410334,1.67E+12,119511328.7,154113,172318472,59448460.9,0
XRPUSDT-1d-2023-01.csv,1.67E+12,0.3436,04-01-2023,Q1,January,0.3605,0.339,0.3472,372672796,1.67E+12,129585304.7,147677,193027855,67139279.1,0
XRPUSDT-1d-2023-01.csv,1.67E+12,0.3471,05-01-2023,Q1,January,0.3487,0.3333,0.338,265529668,1.67E+12,90735849.14,106910,129294274,44187813.67,0
XRPUSDT-1d-2023-01.csv,1.67E+12,0.338,06-01-2023,Q1,January,0.3462,0.3311,0.3443,278304929,1.67E+12,93853937.03,124811,141179233,47616379.19,0
XRPUSDT-1d-2023-01.csv,1.67E+12,0.3442,07-01-2023,Q1,January,0.3457,0.3413,0.3442,103851424,1.67E+12,35685499.47,54864,50831317,17471422.57,0
XRPUSDT-1d-2023-01.csv,1.67E+12,0.3442,08-01-2023,Q1,January,0.3469,0.3354,0.3452,185516324,1.67E+12,63235820,87967,92948507,31689407.39,0
XRPUSDT-1d-2023-01.csv,1.67E+12,0.3452,09-01-2023,Q1,January,0.3576,0.3437,0.349,527746615,1.67E+12,185161444.3,207757,254824357,89419804.37,0
XRPUSDT-1d-2023-01.csv,1.67E+12,0.3489,10-01-2023,Q1,January,0.3541,0.3432,0.3507,338577860,1.67E+12,118256165.2,126247,173055172,60442037.71,0
XRPUSDT-1d-2023-01.csv,1.67E+12,0.3506,11-01-2023,Q1,January,0.3785,0.3477,0.3728,626037461,1.67E+12,228637315.4,264481,316060030,115363462.2,0
XRPUSDT-1d-2023-01.csv,1.67E+12,0.3728,12-01-2023,Q1,January,0.382,0.3607,0.3748,505754231,1.67E+12,188241999.7,229155,249878743,93006864.75,0
XRPUSDT-1d-2023-01.csv,1.67E+12,0.3748,13-01-2023,Q1,January,0.3868,0.368,0.3858,405120914,1.67E+12,152479844.1,180943,201571197,75872846.41,0
