Source.Name,Open time,Open,Date,Quartile,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
XRPUSDT-1d-2022-01.csv,1.64E+12,0.8298,01-01-2023,Q1,0.8557,0.8297,0.8507,136976730,1.64E+12,115507460.4,178238,70090109,59113405.01,0
XRPUSDT-1d-2022-01.csv,1.64E+12,0.8508,02-01-2023,Q1,0.8667,0.8372,0.8586,129688032,1.64E+12,110265575.8,176940,65996017,56117623.46,0
XRPUSDT-1d-2022-01.csv,1.64E+12,0.8586,03-01-2023,Q1,0.8587,0.8213,0.8324,178618617,1.64E+12,149876148.1,232484,89735857,75298817.19,0
XRPUSDT-1d-2022-01.csv,1.64E+12,0.8324,04-01-2023,Q1,0.8456,0.7794,0.8228,214415744,1.64E+12,177691937,270966,104076850,86367665.36,0
XRPUSDT-1d-2022-01.csv,1.64E+12,0.8227,05-01-2023,Q1,0.8372,0.7092,0.7726,370612510,1.64E+12,294783762.3,482373,173152247,137997621.9,0
XRPUSDT-1d-2022-01.csv,1.64E+12,0.7725,06-01-2023,Q1,0.7909,0.7377,0.7791,307202277,1.64E+12,234402002.1,415169,151109632,115283157.8,0
XRPUSDT-1d-2022-01.csv,1.64E+12,0.779,07-01-2023,Q1,0.7808,0.7287,0.7634,372926762,1.64E+12,281919749.2,511973,177050288,133890338.7,0
XRPUSDT-1d-2022-01.csv,1.64E+12,0.7634,08-01-2023,Q1,0.7768,0.7222,0.7452,253028571,1.64E+12,190213053.8,347309,122226022,91911985.05,0
XRPUSDT-1d-2022-01.csv,1.64E+12,0.7452,09-01-2023,Q1,0.7667,0.7381,0.753,151521399,1.64E+12,113888420.5,211515,74010465,55633357.26,0
XRPUSDT-1d-2022-01.csv,1.64E+12,0.753,10-01-2023,Q1,0.7589,0.6967,0.7399,313080154,1.64E+12,228730493.5,359880,155055910,113354601.6,0
XRPUSDT-1d-2022-01.csv,1.64E+12,0.7399,11-01-2023,Q1,0.7768,0.7306,0.7703,254065075,1.64E+12,190447525.4,285391,131311656,98408665.5,0
XRPUSDT-1d-2022-01.csv,1.64E+12,0.7702,12-01-2023,Q1,0.816,0.757,0.7987,295701910,1.64E+12,231115520.8,330205,152951383,119559374.4,0
XRPUSDT-1d-2022-01.csv,1.64E+12,0.7986,13-01-2023,Q1,0.8024,0.7604,0.768,227833834,1.64E+12,178544935.2,247605,110303627,86439902.8,0
XRPUSDT-1d-2022-01.csv,1.64E+12,0.7677,14-01-2023,Q1,0.8,0.7513,0.7732,221104212,1.64E+12,170797410.1,242416,110650666,85508025.43,0
XRPUSDT-1d-2022-01.csv,1.64E+12,0.7733,15-01-2023,Q1,0.79,0.768,0.7791,138443019,1.64E+12,107785186.3,159163,66517924,51809404.94,0
XRPUSDT-1d-2022-01.csv,1.64E+12,0.7791,16-01-2023,Q1,0.7884,0.768,0.7784,125068081,1.64E+12,97287674.58,157210,61255756,47661753.26,0
XRPUSDT-1d-2022-01.csv,1.64E+12,0.7785,17-01-2023,Q1,0.7805,0.7498,0.7617,181653025,1.64E+12,138537212.1,205250,87928840,67048581.07,0
XRPUSDT-1d-2022-01.csv,1.64E+12,0.7616,18-01-2023,Q1,0.7686,0.7352,0.7509,188367099,1.64E+12,141172279.4,209700,92556337,69375577.47,0
XRPUSDT-1d-2022-01.csv,1.64E+12,0.751,19-01-2023,Q1,0.7533,0.7231,0.7381,190555142,1.64E+12,140704196.4,214504,92323317,68185226.17,0
